,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return (%)
115,115,115,115,115,115,2023-12-05 00:00:00+08:00,70.60022004260615,70.84951459415792,69.70275813544662,70.30106353759766,56325918,0.0,0.0,-0.4237326599314972
116,116,116,116,116,116,2023-12-06 00:00:00+08:00,69.80247101020468,70.6500709223269,69.20416563740461,69.9520492553711,74529931,0.0,0.0,-0.4964566176725138
117,117,117,117,117,117,2023-12-07 00:00:00+08:00,69.20416228923246,69.75260568448758,68.4562787074494,69.50331115722656,39815379,0.0,0.0,-0.6414938560360683
118,118,118,118,118,118,2023-12-08 00:00:00+08:00,69.50331792948563,70.79965264070118,69.10445273329557,70.30106353759766,52123073,0.0,0.0,1.1477904679483064
119,119,119,119,119,119,2023-12-11 00:00:00+08:00,69.05459264025167,69.30388719851972,67.6086872454434,68.60586547851562,70139100,0.0,0.0,-2.4113405598414905
120,120,120,120,120,120,2023-12-12 00:00:00+08:00,68.85515860389222,70.00190746176824,68.65571839670847,69.90219116210938,37921483,0.0,0.0,1.8895260260213487
121,121,121,121,121,121,2023-12-13 00:00:00+08:00,68.80529741610881,69.60304303799275,68.65571916102232,69.20417022705078,27833190,0.0,0.0,-0.9985680326383806
122,122,122,122,122,122,2023-12-14 00:00:00+08:00,69.3537411263573,70.4007735851805,68.40641734986171,68.9050064086914,44998398,0.0,0.0,-0.43229160522819665
123,123,123,123,123,123,2023-12-15 00:00:00+08:00,70.20134227183483,72.74414195304126,70.20134227183483,71.44781494140625,62228683,0.0,0.0,3.69031027677853
124,124,124,124,124,124,2023-12-18 00:00:00+08:00,71.69711281687613,72.59457470236823,71.49767261573022,71.89654541015625,37723193,0.0,0.0,0.6280534528844584
125,125,125,125,125,125,2023-12-19 00:00:00+08:00,71.6472475253915,71.94640400923481,70.94922587357769,71.44781494140625,31969362,0.0,0.0,-0.6241335605070786
126,126,126,126,126,126,2023-12-20 00:00:00+08:00,72.5716007651417,73.62046307755102,72.1720309037262,72.47171020507812,44579808,0.125,0.0,1.4330672876582184
127,127,127,127,127,127,2023-12-21 00:00:00+08:00,72.17203208485509,73.47063225041737,71.9223018700286,73.27084350585938,34236257,0.0,0.0,1.1026831000950477
128,128,128,128,128,128,2023-12-22 00:00:00+08:00,74.11992339079136,74.71928199261997,71.57267981766459,71.7724609375,59400452,0.0,0.0,-2.0449915637173577
129,129,129,129,129,129,2023-12-27 00:00:00+08:00,73.42068050681507,74.21982021385708,72.77138044748858,73.7203598022461,36876901,0.0,0.0,2.713992023266898
130,130,130,130,130,130,2023-12-28 00:00:00+08:00,73.72035959115065,76.06782199476821,73.5705199438642,75.76814270019531,49312462,0.0,0.0,2.7777711658521165
131,131,131,131,131,131,2023-12-29 00:00:00+08:00,75.9179872365071,75.96793632920625,74.96901544451538,75.51841735839844,26301974,0.0,0.0,-0.32959147855188275
132,132,132,132,132,132,2024-01-02 00:00:00+08:00,76.01787548583752,76.11776604703242,74.0699828684724,74.619384765625,28567849,0.0,0.0,-1.190481241823127
133,133,133,133,133,133,2024-01-03 00:00:00+08:00,73.32079205021081,73.32079205021081,72.52165232026424,73.22090148925781,37529342,0.0,0.0,-1.874155463435856
134,134,134,134,134,134,2024-01-04 00:00:00+08:00,73.92014368194462,74.11992480559344,73.22090212801238,73.9700927734375,37563294,0.0,0.0,1.0231931988567533
135,135,135,135,135,135,2024-01-05 00:00:00+08:00,72.97116827154457,72.97116827154457,71.32294740962475,71.57267761230469,52087626,0.0,0.0,-3.241060097728743
136,136,136,136,136,136,2024-01-08 00:00:00+08:00,71.22305772362411,71.27299919207414,69.57483684155159,70.27407836914062,34239253,0.0,0.0,-1.8143784562571819
137,137,137,137,137,137,2024-01-09 00:00:00+08:00,70.17418881214647,71.02326999952028,69.47494727458243,69.67472839355469,50769600,0.0,0.0,-0.8528748999561797
